Date,Close/Last,Open,High,Low
06/25/2024,2932.54,2932.54,2934.11,2907.00
06/24/2024,2918.56,2918.56,2923.33,2883.40
06/21/2024,2902.95,2901.83,2914.05,2895.20
06/20/2024,2918.18,2918.18,2918.70,2887.68
06/18/2024,2891.81,2891.24,2897.50,2887.09
06/17/2024,2881.04,2881.04,2912.55,2872.33
06/14/2024,2896.92,2901.81,2925.37,2883.48
06/13/2024,2910.68,2910.68,2950.23,2909.68
06/12/2024,2959.29,2959.29,2968.23,2918.16
06/11/2024,2913.58,2913.58,2946.97,2905.08
06/10/2024,2930.08,2930.08,2930.17,2911.52
06/07/2024,2930.54,2917.68,2935.83,2909.67
06/06/2024,2920.90,2920.90,2930.04,2912.14
06/05/2024,2881.29,2881.29,2885.21,2875.64
06/04/2024,2864.84,2864.84,2877.61,2851.43
06/03/2024,2871.79,2871.79,2894.44,2862.80
05/31/2024,2861.91,2860.65,2866.91,2833.26
05/30/2024,2837.86,2837.86,2846.65,2819.14
05/29/2024,2821.33,2821.33,2850.26,2815.81
05/28/2024,2859.37,2859.37,2877.48,2850.21
05/24/2024,2865.86,2858.94,2867.19,2846.81
05/23/2024,2875.89,2875.89,2888.39,2861.75
05/22/2024,2860.47,2860.47,2865.07,2834.62
05/21/2024,2864.78,2864.78,2864.93,2833.82
05/20/2024,2842.56,2842.56,2842.60,2830.01
05/17/2024,2825.94,2827.00,2843.73,2820.70
05/16/2024,2843.04,2843.04,2859.74,2815.69
05/15/2024,2849.56,2849.56,2853.67,2831.78
05/14/2024,2833.97,2833.97,2847.09,2825.62
05/13/2024,2830.39,2830.39,2830.41,2812.67
05/10/2024,2802.25,2805.73,2807.31,2787.69
05/09/2024,2776.28,2776.28,2777.46,2772.87
05/08/2024,2775.30,2775.30,2789.63,2769.67
05/07/2024,2778.48,2778.48,2778.48,2737.50
05/06/2024,2731.60,2731.60,2733.66,2711.74
05/03/2024,2711.68,2708.45,2720.28,2678.38
05/02/2024,2718.77,2718.77,2765.21,2710.59
05/01/2024,2750.42,2750.42,2752.69,2724.36
04/30/2024,2756.48,2756.48,2770.20,2715.62
04/29/2024,2749.70,2749.70,2762.15,2746.28
04/26/2024,2747.92,2734.57,2753.23,2720.22
04/25/2024,2705.08,2705.08,2746.23,2692.58
04/24/2024,2743.28,2743.28,2771.48,2740.04
04/23/2024,2769.49,2769.49,2770.94,2737.55
04/22/2024,2732.36,2732.36,2738.65,2701.12
04/19/2024,2709.41,2701.76,2712.91,2682.04
04/18/2024,2706.69,2706.69,2722.74,2690.76
04/17/2024,2707.34,2707.34,2728.41,2702.32
04/16/2024,2706.90,2706.90,2716.76,2686.07
04/15/2024,2747.11,2747.11,2772.22,2745.69
04/12/2024,2739.03,2761.66,2777.02,2736.64
04/11/2024,2733.51,2733.51,2746.12,2716.33
04/10/2024,2742.01,2742.01,2760.38,2711.88
04/09/2024,2739.41,2739.41,2762.93,2735.93
04/08/2024,2757.69,2757.69,2764.17,2736.28
04/05/2024,2738.46,2728.86,2739.58,2712.48
04/04/2024,2747.39,2747.39,2760.12,2739.26
04/03/2024,2753.85,2753.85,2755.46,2731.28
04/02/2024,2737.99,2737.99,2776.17,2727.96
04/01/2024,2751.38,2751.38,2760.03,2750.80
03/28/2024,2756.94,2757.17,2759.40,2756.85
03/27/2024,2775.21,2775.21,2797.57,2768.63
03/26/2024,2794.83,2794.83,2799.82,2774.17
03/25/2024,2789.72,2789.72,2795.04,2771.83
03/22/2024,2789.82,2798.53,2804.75,2787.73
03/21/2024,2811.37,2811.37,2815.00,2780.33
03/20/2024,2793.51,2793.51,2796.31,2780.11
03/19/2024,2792.59,2792.59,2800.57,2784.43
03/18/2024,2795.96,2795.96,2822.00,2787.21
03/15/2024,2811.78,2835.52,2840.32,2811.59
03/14/2024,2838.10,2838.10,2856.24,2829.35
03/13/2024,2831.53,2831.53,2852.01,2822.48
03/12/2024,2843.83,2843.83,2847.91,2797.77
03/11/2024,2797.12,2797.12,2822.18,2791.50
03/08/2024,2816.67,2819.84,2831.38,2806.66
03/07/2024,2814.52,2814.52,2828.36,2726.51
03/06/2024,2733.92,2733.92,2739.20,2709.03
03/05/2024,2726.86,2726.86,2758.03,2724.82
03/04/2024,2758.07,2758.07,2769.37,2750.66
03/01/2024,2747.20,2731.34,2749.28,2708.64
02/29/2024,2706.03,2706.03,2720.51,2704.06
02/28/2024,2710.49,2710.49,2721.67,2706.68
02/27/2024,2714.50,2714.50,2728.99,2682.71
02/26/2024,2720.61,2720.61,2726.27,2715.23
02/23/2024,2725.69,2726.43,2729.99,2715.16
02/22/2024,2724.09,2724.09,2731.97,2712.95
02/21/2024,2691.69,2691.69,2697.02,2670.99
02/20/2024,2704.15,2704.15,2722.67,2690.94
02/16/2024,2717.05,2706.48,2718.28,2704.09
02/15/2024,2685.91,2685.91,2692.08,2667.58
02/14/2024,2664.20,2664.20,2665.06,2640.88
02/13/2024,2640.68,2640.68,2669.60,2632.76
02/12/2024,2662.87,2662.87,2677.72,2654.41
02/09/2024,2651.70,2654.38,2659.60,2640.46
02/08/2024,2630.84,2630.84,2653.45,2629.10
02/07/2024,2648.68,2648.68,2655.05,2617.49
02/06/2024,2626.90,2626.90,2636.30,2603.78
02/05/2024,2608.13,2608.13,2625.67,2589.51
02/02/2024,2600.68,2603.88,2627.45,2600.20
02/01/2024,2608.17,2608.17,2625.53,2591.98
01/31/2024,2601.34,2601.34,2623.77,2561.43
01/30/2024,2567.09,2567.09,2590.16,2563.41
01/29/2024,2568.15,2568.15,2570.97,2543.55
01/26/2024,2551.12,2552.15,2553.75,2527.78
01/25/2024,2536.47,2536.47,2536.59,2515.00
01/24/2024,2521.99,2521.99,2532.54,2519.15
01/23/2024,2506.16,2506.16,2510.04,2486.24
01/22/2024,2508.90,2508.90,2512.94,2497.32
01/19/2024,2492.49,2499.54,2517.12,2487.99
01/18/2024,2505.43,2505.43,2512.21,2498.41
01/17/2024,2501.86,2501.86,2505.97,2485.33
01/16/2024,2527.65,2527.65,2528.83,2515.06
01/12/2024,2535.80,2556.68,2560.69,2534.09
01/11/2024,2536.52,2536.52,2579.45,2535.31
01/10/2024,2556.18,2556.18,2556.52,2537.16
01/09/2024,2542.64,2542.64,2555.51,2528.43
01/08/2024,2544.56,2544.56,2546.48,2522.86
01/05/2024,2544.78,2533.44,2547.77,2527.87
01/04/2024,2551.79,2551.79,2556.81,2520.77
01/03/2024,2510.41,2510.41,2539.33,2500.66
01/02/2024,2534.89,2534.89,2552.21,2519.17
12/29/2023,2536.93,2536.97,2536.97,2536.93
12/28/2023,2542.26,2542.26,2550.85,2537.83
12/27/2023,2537.15,2537.15,2545.75,2522.75
12/26/2023,2525.32,2525.32,2530.18,2522.96
12/22/2023,2528.06,2527.72,2528.81,2524.12
12/21/2023,2520.12,2520.12,2524.44,2508.42
12/20/2023,2520.00,2520.00,2520.15,2496.41
12/19/2023,2497.91,2497.91,2501.04,2479.67
12/18/2023,2484.33,2484.33,2492.08,2472.19
12/15/2023,2469.38,2465.85,2478.14,2456.39
12/14/2023,2459.88,2459.88,2482.35,2442.60
12/13/2023,2429.16,2429.16,2437.14,2424.38
12/12/2023,2417.16,2417.16,2426.00,2405.80
12/11/2023,2435.50,2435.50,2441.43,2427.58
12/08/2023,2429.96,2421.84,2436.12,2412.92
12/07/2023,2415.56,2415.56,2428.00,2404.83
12/06/2023,2425.74,2425.74,2431.75,2418.91
12/05/2023,2419.69,2419.69,2420.83,2408.95
12/04/2023,2418.05,2418.05,2436.00,2412.16
12/01/2023,2426.85,2408.54,2427.77,2398.55
11/30/2023,2402.78,2402.78,2405.90,2385.20
11/29/2023,2395.42,2395.42,2399.79,2372.67
11/28/2023,2376.41,2376.41,2396.99,2373.52
11/27/2023,2407.54,2407.54,2423.69,2406.46
11/24/2023,2420.21,2408.22,2421.13,2406.59
11/22/2023,2408.14,2401.85,2410.19,2395.68
11/21/2023,2390.74,2390.74,2402.18,2383.18
11/20/2023,2399.03,2399.03,2399.33,2373.59
11/17/2023,2381.83,2383.38,2387.25,2353.88
11/16/2023,2341.47,2341.47,2357.09,2339.18
11/15/2023,2356.75,2356.75,2365.69,2344.74
11/14/2023,2346.60,2346.60,2348.97,2318.23
11/13/2023,2322.47,2322.47,2351.29,2307.08
11/10/2023,2307.54,2315.65,2333.96,2297.69
11/09/2023,2331.51,2331.51,2341.84,2320.17
11/08/2023,2339.19,2339.19,2349.21,2310.77
11/07/2023,2313.12,2313.12,2323.27,2301.27
11/06/2023,2314.50,2314.50,2315.60,2294.96
11/03/2023,2296.04,2300.27,2313.87,2285.72
11/02/2023,2312.15,2312.15,2322.70,2269.10
11/01/2023,2258.26,2258.26,2270.44,2247.55
10/31/2023,2251.03,2251.03,2264.37,2241.05
10/30/2023,2237.83,2237.83,2246.34,2221.23
10/27/2023,2217.96,2219.77,2239.00,2208.11
10/26/2023,2237.12,2237.12,2243.03,2207.64
10/25/2023,2256.89,2256.89,2270.21,2233.66
10/24/2023,2253.00,2253.00,2259.65,2233.27
10/23/2023,2246.81,2246.81,2267.13,2232.52
10/20/2023,2256.78,2265.55,2282.34,2256.44
10/19/2023,2288.28,2288.28,2335.55,2280.84
10/18/2023,2339.65,2339.65,2371.19,2338.91
10/17/2023,2370.98,2370.98,2389.14,2357.69
10/16/2023,2379.16,2379.16,2404.21,2379.16
10/13/2023,2387.94,2402.94,2428.66,2360.57
10/12/2023,2399.73,2399.73,2418.17,2370.38
10/11/2023,2365.07,2365.07,2368.02,2349.55
10/10/2023,2331.67,2331.67,2333.62,2298.62
10/09/2023,2277.00,2277.00,2299.21,2275.21
10/06/2023,2290.00,2273.98,2290.00,2270.90
10/05/2023,2262.61,2262.61,2274.74,2251.23
10/04/2023,2249.13,2249.13,2264.38,2223.41
10/03/2023,2247.07,2247.07,2296.98,2245.34
10/02/2023,2280.62,2280.62,2314.11,2273.01
09/29/2023,2311.47,2326.85,2332.90,2306.66
09/28/2023,2305.28,2305.28,2305.67,2285.04
09/27/2023,2293.00,2293.00,2306.83,2284.31
09/26/2023,2293.71,2298.24,2303.18,2278.76
09/25/2023,2290.12,2290.12,2306.96,2278.97
09/22/2023,2296.64,2297.14,2305.42,2285.43
09/21/2023,2299.04,2299.04,2339.85,2298.26
09/20/2023,2345.67,2345.67,2357.11,2313.36
09/19/2023,2306.45,2306.45,2320.26,2301.08
09/18/2023,2313.04,2313.04,2330.93,2301.95
09/15/2023,2339.83,2360.26,2372.87,2339.37
09/14/2023,2357.26,2357.26,2358.59,2317.24
09/13/2023,2313.70,2313.70,2324.80,2290.26
09/12/2023,2328.84,2328.84,2352.01,2322.48
09/11/2023,2343.94,2343.94,2357.36,2334.30
09/08/2023,2331.91,2329.38,2346.11,2317.91
09/07/2023,2332.41,2332.41,2334.59,2320.46
09/06/2023,2331.01,2331.01,2335.55,2310.61
09/05/2023,2332.32,2332.32,2346.56,2319.67
09/01/2023,2329.86,2327.89,2351.83,2327.69
08/31/2023,2302.82,2302.82,2322.78,2302.77
08/30/2023,2320.66,2320.66,2343.68,2318.47
08/29/2023,2337.20,2332.92,2342.70,2322.02
08/28/2023,2320.01,2320.01,2324.22,2300.46
08/25/2023,2287.27,2298.08,2300.88,2284.66
08/24/2023,2299.04,2299.04,2328.01,2297.92
08/23/2023,2311.37,2311.37,2313.32,2290.88
08/22/2023,2291.37,2291.37,2300.45,2282.17
08/21/2023,2270.71,2270.71,2294.67,2269.72
08/18/2023,2266.86,2260.25,2277.19,2257.44
08/17/2023,2292.01,2292.01,2303.08,2287.11
08/16/2023,2304.30,2304.30,2310.36,2289.38
08/15/2023,2294.84,2294.84,2312.37,2288.61
08/14/2023,2307.39,2307.39,2312.11,2297.44
08/11/2023,2307.95,2304.02,2331.78,2296.61
08/10/2023,2340.39,2340.39,2351.81,2318.90
08/09/2023,2337.98,2337.98,2360.22,2336.64
08/08/2023,2335.30,2335.30,2342.69,2226.58
08/07/2023,2243.82,2243.82,2244.60,2225.22
08/04/2023,2227.38,2221.92,2233.09,2215.59
08/03/2023,2222.71,2222.71,2236.05,2217.45
08/02/2023,2243.12,2243.12,2258.24,2228.16
08/01/2023,2276.19,2276.19,2284.59,2269.86
07/31/2023,2285.38,2285.38,2289.41,2262.42
07/28/2023,2262.54,2264.42,2272.57,2259.58
07/27/2023,2278.51,2278.51,2293.05,2277.39
07/26/2023,2268.43,2268.43,2310.66,2259.73
07/25/2023,2310.17,2310.17,2312.46,2283.67
07/24/2023,2299.98,2299.98,2307.55,2290.10
07/21/2023,2295.61,2288.42,2298.04,2277.93
07/20/2023,2294.38,2294.38,2295.51,2266.81
07/19/2023,2278.28,2278.28,2296.45,2275.02
07/18/2023,2286.59,2286.59,2287.38,2270.31
07/17/2023,2272.47,2272.47,2281.20,2257.85
07/14/2023,2273.77,2279.38,2282.44,2266.29
07/13/2023,2282.43,2282.43,2286.55,2262.88
07/12/2023,2258.92,2258.92,2259.84,2209.81
07/11/2023,2231.30,2231.30,2244.45,2218.82
07/10/2023,2228.36,2228.36,2236.78,2218.52
07/07/2023,2238.37,2241.37,2248.59,2223.91
07/06/2023,2236.37,2236.37,2271.71,2232.37
07/05/2023,2279.96,2279.96,2283.94,2273.77
07/03/2023,2288.85,2287.98,2292.88,2280.54
06/30/2023,2297.50,2293.20,2303.59,2267.28
06/29/2023,2259.37,2259.37,2263.68,2249.60
06/28/2023,2254.27,2254.27,2261.78,2241.84
06/27/2023,2233.83,2233.83,2250.01,2220.12
06/26/2023,2252.00,2252.00,2259.48,2241.06
06/23/2023,2257.12,2253.24,2261.26,2236.95
06/22/2023,2258.35,2258.35,2265.06,2237.83
06/21/2023,2279.97,2279.97,2295.71,2276.32
06/20/2023,2287.53,2287.53,2304.26,2285.95
06/16/2023,2300.37,2325.24,2325.24,2299.24
06/15/2023,2332.86,2332.86,2333.66,2311.82
06/14/2023,2328.99,2328.99,2334.45,2325.48
06/13/2023,2331.04,2331.04,2337.58,2319.69
06/12/2023,2314.66,2314.66,2334.35,2314.22
06/09/2023,2314.84,2309.20,2327.51,2304.82
06/08/2023,2320.16,2320.16,2329.31,2312.10
06/07/2023,2318.01,2318.01,2334.04,2316.66
06/06/2023,2330.83,2330.83,2331.73,2313.22
06/05/2023,2302.21,2302.21,2313.94,2300.93
06/02/2023,2309.88,2298.36,2310.92,2281.62
06/01/2023,2284.71,2284.71,2303.29,2274.41
05/31/2023,2285.03,2285.03,2300.11,2275.57
05/30/2023,2296.72,2296.72,2322.83,2295.57
05/26/2023,2316.97,2329.23,2329.48,2315.12
05/25/2023,2291.12,2291.12,2312.88,2291.12
05/24/2023,2298.33,2298.33,2333.54,2295.96
05/23/2023,2347.92,2347.92,2376.61,2347.92
05/22/2023,2383.16,2383.16,2389.86,2374.25
05/19/2023,2365.18,2366.99,2369.27,2358.70
05/18/2023,2347.53,2347.53,2353.20,2347.11
05/17/2023,2352.82,2352.82,2365.16,2352.13
05/16/2023,2352.60,2352.60,2374.84,2348.32
05/15/2023,2377.44,2377.44,2383.76,2369.16
05/12/2023,2374.62,2367.26,2377.23,2355.38
05/11/2023,2353.76,2353.76,2372.95,2347.36
05/10/2023,2342.86,2342.86,2358.26,2330.69
05/09/2023,2348.98,2348.98,2364.56,2328.23
05/08/2023,2367.01,2367.01,2372.19,2338.47
05/05/2023,2329.29,2318.57,2329.29,2309.47
05/04/2023,2311.52,2311.52,2323.56,2278.23
05/03/2023,2332.68,2332.68,2351.39,2331.30
05/02/2023,2334.22,2334.22,2363.54,2333.60
05/01/2023,2357.56,2357.56,2361.20,2350.58
04/28/2023,2349.86,2344.74,2361.92,2337.32
04/27/2023,2341.73,2341.73,2349.48,2319.91
04/26/2023,2318.85,2318.85,2355.28,2306.08
04/25/2023,2360.89,2360.89,2373.08,2355.41
04/24/2023,2373.68,2373.68,2380.07,2366.84
04/21/2023,2371.00,2354.64,2372.42,2345.82
04/20/2023,2345.77,2345.77,2350.85,2342.43
04/19/2023,2354.97,2354.97,2378.72,2344.86
04/18/2023,2381.39,2381.39,2397.76,2378.46
04/17/2023,2385.28,2385.28,2389.91,2374.74
04/14/2023,2370.79,2359.17,2372.64,2342.29
04/13/2023,2336.70,2336.70,2351.53,2322.52
04/12/2023,2318.99,2318.99,2329.17,2308.19
04/11/2023,2302.53,2302.53,2307.31,2284.51
04/10/2023,2280.56,2280.56,2284.03,2280.11
04/06/2023,2284.39,2284.05,2285.57,2280.90
04/05/2023,2281.85,2281.85,2301.78,2277.12
04/04/2023,2312.18,2312.18,2330.72,2310.36
04/03/2023,2308.69,2308.69,2328.38,2306.77
03/31/2023,2324.19,2317.60,2327.85,2302.53
03/30/2023,2308.18,2308.18,2309.00,2274.81
03/29/2023,2274.76,2274.76,2274.76,2255.98
03/28/2023,2250.64,2250.64,2272.58,2248.12
03/27/2023,2256.81,2256.81,2264.77,2247.30
03/24/2023,2228.80,2221.29,2240.17,2213.20
03/23/2023,2257.08,2257.08,2257.93,2227.36
03/22/2023,2257.25,2257.25,2265.25,2247.21
03/21/2023,2252.46,2252.46,2263.00,2234.56
03/20/2023,2218.51,2218.51,2227.90,2150.30
03/17/2023,2187.89,2197.99,2240.45,2176.34
03/16/2023,2214.47,2214.47,2232.14,2175.20
03/15/2023,2204.83,2204.83,2267.59,2204.83
03/14/2023,2260.47,2260.47,2265.53,2209.65
03/13/2023,2222.90,2222.90,2265.05,2197.63
03/10/2023,2263.03,2278.90,2282.63,2252.76
03/09/2023,2310.99,2310.99,2315.94,2296.38
03/08/2023,2306.44,2306.44,2308.69,2296.57
03/07/2023,2316.56,2316.56,2347.54,2315.91
03/06/2023,2337.88,2337.88,2351.97,2336.80
03/03/2023,2339.99,2329.84,2341.00,2316.29
03/02/2023,2315.08,2315.08,2316.01,2297.25
03/01/2023,2313.48,2313.48,2339.47,2311.15
02/28/2023,2323.47,2323.47,2331.01,2317.30
02/27/2023,2339.25,2339.25,2343.68,2312.66
02/24/2023,2308.77,2318.54,2336.88,2304.88
02/23/2023,2326.95,2326.95,2339.02,2318.93
02/22/2023,2319.87,2319.87,2325.76,2306.37
02/21/2023,2330.21,2330.21,2337.00,2312.30
02/17/2023,2325.21,2325.88,2329.41,2315.00
02/16/2023,2314.56,2314.56,2330.87,2300.99
