"Data Source","World Development Indicators",

"Last Updated Date","2024-09-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"American Samoa","ASM","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","518000000","513000000","460000000","498000000","495000000","505000000","641000000","530000000","364000000","335000000","483000000","458000000","429000000","428000000","429000000","362000000","436000000","399000000","427000000","332000000","409000000","",
"Antigua and Barbuda","ATG","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1027285185.18519","1016366666.66667","1043081481.48148","988692592.592592","1037966666.66667","1194092592.59259","591277777.777778","752377777.777778","1021455555.55556","",
"Australia","AUS","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","2413600386.17606","2437120389.93926","2773120443.69927","2796640447.46247","3549280567.88489","3428320548.53129","3525760564.12169","3915520626.4833","4016320642.6113","4378080700.49291","5354720856.75534","5715360914.45775","6663551401.86916","9019859064.70211","11680176860.7222","13874095316.1273","14184298826.9876","15449644413.8564","16122883554.3204","19275247074.8608","24616155988.8579","26334610472.5415","26231932031.3362","24060337550.3733","26235903974.9613","27497313397.1163","27321628427.5322","29290629962.9434","37674402360.871","45333960856.8628","47071479854.3762","52248569798.3159","54226800318.0809","54747048903.8786","58015219647.1809","65793733293.7333","75814054769.3059","83327463879.3804","78166587533.0665","71285875422.9853","80695888525.1996","84096722017.0419","82033782309.5723","89138031450.2038","105490823730.26","126785667301.888","148587374344.676","172570464002.512","212794797279.029","213717313259.647","227427026265.26","299822629830.724","332611506740.829","315052050257.969","309614630756.279","271139524648.254","232606961291.863","281677500416.683","312447679285.648","336280198453.879","318857503698.674","342626032843.509","430470188137.656","460640875499.737",
"Austria","AUT","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","4210936226.51495","4828104967.50743","5940800642.89541","7945377046.8761","10245142815.0766","11254488425.3773","12352078699.0872","14409079177.4207","18066572538.6146","22832410705.0952","26006990002.1272","23441765163.297","22623842865.2093","21981186609.4684","22265892304.5183","24230778797.5525","31689309598.9184","38996595559.4253","44096573052.4908","46607267810.7124","59423124773.0848","60116254566.8827","64678675181.5677","59900881343.9016","65453950126.4908","80827705745.8714","81256732518.8459","78792186266.7719","83704902178.7461","85506764813.7261","85517701539.3727","88123586542.1655","97162437618.4825","116896445115.898","141284763656.047","153683280004.98","170970396756.212","204559320050.005","230062733001.008","181624745272.726","201088694407.167","232888437032.783","220969210537.828","229899623200.707","236280892259.344","202784894360.508","207444081442.658","225534464183.706","252348201943.937","247910305740.156","224419959324.063","268174561561.779","292375700457.141","306922587166.77",
"Azerbaijan","AZE","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3896969696.9697","2440000000","383311808.118081","902385596.3991","294957728.987884","785309767.998287","791860069.072703","1150456356.05181","1009304729.90437","1281380721.40315","2118053576.59715","2368581267.17326","2667039717.57852","3056572037.1513","4235083891.66131","8336815027.37934","13953852783.3275","22516209778.5402","32132494340.4494","22870725058.8778","28732245203.09","37215171599.8511","36912727758.7205","35905452997.3577","32558931187.3444","20060045053.3105","17580756547.8197","19839874967.6816","25484215746.0778","23629764705.8824","15208764705.8824","25487647058.8235","47274117647.0588","35487352941.1765",
"Burundi","BDI","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","24499998","26250000","28000000","17500000","36750000","16452740.7407407","17828571.4285714","19257142.8571429","18861714.2857143","18371428.5714286","25945142.8571429","21329142.8571429","28961142.8571429","33526603.8537475","33674920.6349206","34839365.0793651","61551304.3478261","96342222.2222222","71443333.3333333","110822222.222222","81022222.2222222","88603333.3333333","103470000","97956966.1108123","113561106.006182","126803836.274753","140881024.787597","110260311.589511","136282900.38819","108560193.991189","89130244.3724271","115775316.368525","94756920.9276871","88062144.1515651","95016968.8478329","129318804.202468","50580560.1981833","95688945.6506315","71499425.9063978","61217971.467102","55005758.5302566","45410971.2771723","38676370.9024088","50072047.4404685","63635537.873214","69261012.7928117","92956380.7267365","92221560.1934208","169242769.206768","117576044.108053","197117146.938277","196752237.563967","226242999.918978","222979901.007493","235295491.81793","199192399.041752","168837908.896205","164138992.722486","151646759.797055","133258587.053003","120542434.078728","138797984.687655","165971200.659665","139067146.387808",
"Belgium","BEL","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","12006111335.2158","13052184853.2193","16423224269.0862","22932275926.3093","29637776512.0133","30156821322.8036","34528907001.0449","39354961170.5121","46332075060.8428","58067512383.049","63563403228.0315","56620736636.2451","53510783153.8054","52655467455.6213","53687392488.1318","53878264148.3796","68750421708.5064","83463311723.3928","96418786615.469","104389986691.237","126512468614.196","126790048434.731","138072578419.072","126086323460.821","143073453098.626","173144772851.669","170850032573.29","163720906630.582","165908868637.475","166731346437.529","171786761887.373","169538549671.103","183016456470.236","219593071857.725","261796408380.927","286519836951.906","313563958756.941","368740547135.766","418418164815.625","332643194053.633","365158050100.001","422313795109.923","398929195236.797","413907322862.55","427246782185.842","359721498493.008","378134817583.308","418211812445.412","451370851760.392","441538322416.47","413810111778.056","528203425024.41","558531627117.317","548013107092.951",
"Benin","BEN","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","13852022.2718479","10801828.2565992","8317363.65794275","9703491.99266297","13861515.0554071","21069296.1775784","20739912.1478455","23474430.0040027","30461095.5550875","38939715.9124599","50633276.2786263","59595413.8093809","59023784.7218234","78995257.9259981","79408583.8002942","98337358.6004389","90731937.5535587","121349823.276191","153492202.684211","207784726.879978","222261839.296282","205681907.570707","225297401.750903","150766893.851437","205805472.710193","247338455.095396","222807317.486565","238541726.247604","223654543.994436","202741076.024483","375946888.879365","417201321.36147","393976833.800645","510965440.104994","452687270.137931","593804003.901637","625667798.508943","616436708.452127","665156777.433206","846151104.586659","725304886.00806","728426333.669514","827401656.41962","997331579.809427","1146038651.35219","1213941696.92857","1270214595.80969","1800691335.95807","2167074921.86083","1940710262.92026","2199999385.40112","2229520238.43142","2662421032.36803","3451240666.46384","4175438841.58641","2815204783.04203","3263416597.90044","3455561017.58914","3889962074.25631","4264042869.81671","3117343141.94693","3700039683.35829","3773162284.07503","4169448538.10408",
"Burkina Faso","BFA","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","16066015.5277735","19014523.2019842","20997590.0505315","21985467.8188396","11484230.663974","19676611.9401145","21918943.175302","22215435.2110641","28569263.1922709","27823654.5207813","25007054.098666","26587935.4338148","37028534.9708903","42590341.8561142","62500033.8589196","69071585.0515765","80128162.0284074","90048519.1516871","110202772.487273","144182061.699373","172630479.08256","164734426.603165","143789749.49086","126168356.027405","160016200.325","154030064.347859","183075138.96731","269185210.483642","287730449.044585","228834176.818704","340110086.141584","327535406.089611","296949143.50596","286407891.48908","269161995.884847","336477084.673808","273232993.341465","264654980.388452","359254784.850846","283164589.796073","262543948.165201","288539801.148718","321134577.559381","437119286.678813","593230247.614684","604914704.78582","717391852.668023","789151147.099085","959257099.036903","1303153838.06675","2074074305.85765","3164493995.57507","3340989540.70765","3640311286.81321","3755133669.00295","3089098213.34422","3325889850.03121","3731626300.73619","4461756780.16476","4690831780.11539","5632452790.61293","6460187758.59424","5934845694.84876","5864783349.19773",
"Bangladesh","BGD","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","427347708.333333","519448541.666667","546086875","531067354.166667","540135791.666667","570741562.5","662275583.333333","675028062.5","623451562.5","690047541.666667","747575145.833333","550621104.166667","356841000","528824097.159748","463095606.326889","563045020.279405","480166471.380471","679513484.162896","738155879.62963","950929356.110381","996555891.472868","1038984088.1273","940219560.878244","986784511.784512","642600000","1199576923.07692","1128533333.33333","1212483870.96774","1442788415.29524","1594548385.95317","1866929977.69423","2062577030.81232","2405649867.37401","2990714285.71429","3039700748.12968","4122014925.37313","4507555012.22494","5075480093.67682","5876850220.26432","6028722961.73045","6588073941.56231","7227575982.20904","6791241511.40519","6876856649.39551","7257329709.52947","9999571042.80249","11741089474.554","13530265641.8905","16182047696.0787","17359428038.7872","18471882566.6648","25621279147.1841","26877564731.3329","29306607448.6873","32830579630.7217","33831930824.4698","36922447019.7655","37655756243.1882","40732047238.7819","45992932926.7723","39053880590.2555","44386125344.9789","59275206064.019","57551451740.6239",
"Bulgaria","BGR","Exports of goods and services (current US$)","NE.EXP.GNFS.CD","","","","","","","","","","","","","","","","","","","","","7084153846.15385","7081357142.85714","6631000000","6153111111.11111","7061055555.55556","7341684210.52632","8106529411.76471","11461076923.0769","10277764705.8824","10207166666.6667","6833181818.18182","4758064516.12903","4876288659.79381","4138580850.90962","4368450184.50185","6141757603.7278","5962695838.41609","5610104531.89558","6304226753.8762","5825652718.0715","4797546243.42113","4947372829.68708","5519181983.41338","7277448747.67848","10713332855.0596","12703010482.5958","16151246707.5876","23262813855.8432","28590187694.8689","21963850651.0309","25430233172.914","33942571347.2351","32760867108.9798","36060911930.4678","36920739709.2786","32421689925.1191","34473444450.7329","39745419626.87","43611497494.1127","44046291568.8856","39498545815.5697","51602387978.4725","62514132120.168","61847387271.0359",
